,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16
65,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-517,21,-88,10,-538,58,-571,25,-540,24,-566,30,-99,11,-96,7,-132,6,-134,13,-95,3
66,-527,69,-530,66,-541,55,-551,45,-433,163,-122,13,-561,21,-88,10,-538,58,-571,25,-572,24,-566,30,-99,11,-101,7,-132,6,-137,13,-95,3
67,-527,69,-530,66,-541,55,-551,45,-433,163,-146,13,-574,22,-88,10,-538,58,-571,25,-572,24,-566,30,-117,11,-101,7,-148,6,-150,13,-95,3
68,-527,69,-530,66,-541,55,-551,45,-433,163,-160,13,-574,22,-88,10,-538,58,-571,25,-572,24,-566,30,-140,11,-103,7,-160,6,-170,13,-109,3
69,-527,69,-530,66,-541,55,-551,45,-433,163,-203,15,-574,22,-88,10,-538,58,-571,25,-572,24,-566,30,-159,11,-112,7,-172,6,-170,13,-109,3
70,-527,69,-530,66,-541,55,-551,45,-433,163,-203,15,-574,22,-88,10,-538,58,-571,25,-572,24,-566,30,-159,11,-112,7,-172,6,-255,13,-109,3
71,-527,69,-530,66,-541,55,-551,45,-433,163,-203,15,-574,22,-88,10,-538,58,-571,25,-572,24,-566,30,-159,11,-112,7,-172,6,-340,13,-109,3
72,-527,69,-530,66,-541,55,-551,45,-433,163,-203,15,-574,22,-88,10,-538,58,-571,25,-572,24,-566,30,-159,11,-112,7,-172,6,-425,13,-109,3
73,-527,69,-530,66,-541,55,-551,45,-433,163,-203,15,-574,22,-88,10,-538,58,-571,25,-572,24,-566,30,-159,11,-112,7,-172,6,-509,14,-109,3
74,-527,69,-530,66,-541,55,-551,45,-433,163,-210,15,-574,22,-88,10,-538,58,-571,25,-572,24,-566,30,-161,11,-114,7,-172,6,-557,39,-110,3
75,-527,69,-530,66,-541,55,-551,45,-433,163,-255,15,-574,22,-90,10,-538,58,-571,25,-572,24,-566,30,-168,11,-114,7,-203,6,-557,39,-110,3
76,-527,69,-530,66,-541,55,-551,45,-433,163,-255,15,-574,22,-90,10,-538,58,-571,25,-572,24,-566,30,-168,11,-114,7,-280,14,-557,39,-110,3
77,-527,69,-530,66,-541,55,-551,45,-433,163,-255,15,-574,22,-90,10,-538,58,-571,25,-572,24,-566,30,-168,11,-114,7,-365,14,-557,39,-110,3
78,-527,69,-530,66,-541,55,-551,45,-433,163,-255,15,-574,22,-90,10,-538,58,-571,25,-572,24,-566,30,-168,11,-114,7,-450,14,-557,39,-110,3
79,-527,69,-530,66,-541,55,-551,45,-433,163,-255,15,-574,22,-90,10,-538,58,-571,25,-572,24,-566,30,-168,11,-136,7,-495,14,-557,39,-128,3
