Adaptive,CVIRS,Greedy_sample,MMC,MML,Random,Random_sample,STM_stable_validation
3.9931752873563227,4.487068965517241,3.9525862068965516,3.8028017241379306,4.295258620689656,3.8979885057471275,4.045617816091954,3.7273706896551726
4.011853448275862,4.464080459770115,3.9755747126436782,3.817528735632184,4.293103448275863,3.8976293103448283,4.0448994252873565,3.7586206896551717
3.997126436781609,4.445402298850575,3.9683908045977008,3.7999281609195408,4.302442528735632,3.8742816091954024,4.055675287356322,3.742816091954023
3.999281609195402,4.443247126436782,3.9630028735632186,3.787715517241379,4.275862068965518,3.875359195402299,4.039511494252874,3.7327586206896552
3.97808908045977,4.435344827586208,3.9554597701149428,3.78771551724138,4.2611350574712645,3.8746408045977008,4.03412356321839,3.723419540229885
3.992097701149425,4.433548850574713,3.955100574712644,3.7920258620689657,4.275862068965518,3.8347701149425286,4.053879310344827,3.737787356321839
3.9547413793103448,4.397270114942529,3.938936781609195,3.7974137931034484,4.275862068965518,3.842313218390805,4.033405172413794,3.7108477011494254
3.9576149425287355,4.37787356321839,3.950431034482759,3.7704741379310347,4.283405172413794,3.8254310344827585,4.025862068965518,3.7209051724137927
3.9249281609195403,4.370689655172415,3.9396551724137936,3.7701149425287355,4.270833333333332,3.8193247126436787,4.033045977011494,3.727729885057471
3.9224137931034484,4.351652298850575,3.9407327586206895,3.7647270114942533,4.272988505747127,3.817887931034482,4.039511494252873,3.71875
3.9116379310344827,4.347341954022989,3.943965517241379,3.7769396551724137,4.273347701149425,3.813936781609196,4.024784482758621,3.709770114942529
3.901221264367817,4.338721264367816,3.9407327586206904,3.7744252873563218,4.243534482758621,3.800646551724138,4.042744252873564,3.6857040229885056
3.891882183908046,4.303160919540231,3.924568965517241,3.7643678160919536,4.243893678160919,3.8132183908045976,4.0359195402298855,3.696479885057472
3.8900862068965516,4.303879310344827,3.925646551724138,3.762931034482759,4.224856321839081,3.7884339080459775,4.067528735632184,3.700431034482759
3.887212643678161,4.295977011494253,3.9198994252873565,3.7690373563218396,4.23706896551724,3.7744252873563218,4.032327586206897,3.6882183908045976
3.9026580459770113,4.271910919540231,3.9166666666666665,3.760775862068966,4.235991379310345,3.7647270114942533,4.038074712643678,3.6738505747126435
3.8721264367816097,4.277658045977011,3.9148706896551726,3.761853448275862,4.218390804597701,3.761135057471264,4.0265804597701145,3.6806752873563218
3.85919540229885,4.253951149425287,3.92816091954023,3.749281609195402,4.227011494252874,3.748922413793103,4.007543103448276,3.6774425287356323
3.864583333333333,4.257902298850574,3.9267241379310343,3.751795977011494,4.207255747126437,3.7492816091954024,4.017600574712644,3.6792385057471266
3.858477011494253,4.239583333333333,3.9263649425287355,3.7295258620689653,4.204022988505748,3.742816091954023,4.01867816091954,3.6763649425287355
3.8340517241379306,4.20007183908046,3.928879310344828,3.7270114942528743,4.189655172413793,3.7557471264367814,3.9938936781609193,3.669181034482758
