,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
58,-100,3,-509,72,-541,40,-87,2,-160,4,-162,10,-543,33,-509,34,-529,52,-536,45,-495,86,-537,24,-411,25,-112,5,-419,26,-170,9,-128,3,-95,5,-430,22
59,-100,3,-509,72,-541,40,-89,2,-163,4,-162,10,-543,33,-509,34,-529,52,-536,45,-495,86,-537,24,-429,25,-112,5,-455,27,-170,9,-128,3,-129,6,-430,22
60,-100,3,-509,72,-541,40,-89,2,-163,4,-162,10,-544,33,-530,35,-529,52,-536,45,-495,86,-537,24,-429,25,-142,5,-489,27,-170,9,-128,3,-132,6,-435,22
61,-103,3,-509,72,-541,40,-89,2,-163,4,-162,10,-545,33,-544,35,-529,52,-536,45,-495,86,-537,24,-429,25,-142,5,-490,27,-170,9,-128,3,-132,6,-510,23
62,-115,3,-509,72,-541,40,-91,2,-181,7,-168,10,-545,33,-545,35,-529,52,-536,45,-495,86,-538,24,-439,25,-143,5,-490,27,-170,9,-132,3,-141,6,-538,23
63,-115,3,-509,72,-541,40,-91,2,-273,10,-168,10,-545,33,-545,35,-529,52,-536,45,-495,86,-538,24,-439,25,-143,5,-490,27,-170,9,-132,3,-141,6,-538,23
64,-115,3,-509,72,-541,40,-91,2,-282,10,-168,10,-545,33,-545,35,-529,52,-536,45,-495,86,-541,24,-511,26,-143,5,-495,27,-170,9,-133,3,-141,6,-542,23
65,-125,4,-509,72,-541,40,-93,2,-289,10,-168,10,-546,33,-545,35,-529,52,-536,45,-495,86,-544,24,-537,26,-143,5,-511,28,-170,9,-153,3,-141,6,-550,23
66,-187,9,-509,72,-541,40,-93,2,-301,10,-168,10,-546,33,-545,36,-529,52,-536,45,-495,86,-547,24,-537,26,-143,5,-523,28,-170,9,-153,3,-141,6,-550,23
67,-194,10,-509,72,-541,40,-93,2,-301,10,-168,10,-546,33,-545,36,-529,52,-536,45,-495,86,-547,24,-537,26,-143,5,-523,28,-255,11,-153,3,-141,6,-550,23
68,-234,11,-509,72,-541,40,-93,2,-301,10,-168,10,-546,33,-545,36,-529,52,-536,45,-495,86,-547,24,-537,26,-195,5,-523,28,-256,12,-153,3,-141,6,-550,23
69,-238,11,-509,72,-541,40,-95,2,-301,10,-195,10,-547,33,-545,36,-529,52,-536,45,-495,86,-547,24,-537,26,-195,5,-533,28,-264,12,-159,3,-177,6,-551,23
70,-305,11,-509,72,-541,40,-109,3,-302,11,-195,10,-547,33,-545,36,-529,52,-536,45,-495,86,-547,24,-537,26,-195,5,-540,28,-264,12,-159,3,-177,6,-555,23
71,-305,11,-509,72,-541,40,-158,3,-346,13,-195,10,-547,33,-545,36,-529,52,-536,45,-495,86,-547,24,-537,26,-195,5,-540,28,-264,12,-159,3,-177,6,-555,23
72,-305,11,-509,72,-541,40,-159,3,-375,13,-223,11,-547,33,-545,36,-529,52,-536,45,-495,86,-551,24,-546,27,-195,5,-540,28,-265,12,-180,3,-177,6,-555,23
73,-305,11,-509,72,-541,40,-162,3,-421,14,-223,11,-547,33,-545,36,-529,52,-536,45,-495,86,-551,24,-548,27,-195,5,-547,28,-283,13,-181,3,-192,6,-556,23
74,-305,11,-509,72,-541,40,-248,3,-422,14,-223,11,-547,33,-545,36,-529,52,-536,45,-495,86,-551,24,-550,27,-195,5,-547,28,-283,13,-182,3,-197,6,-556,23
75,-328,11,-509,72,-541,40,-248,3,-423,14,-232,11,-547,34,-545,36,-529,52,-536,45,-495,86,-551,24,-550,27,-201,5,-547,28,-306,14,-213,3,-197,6,-556,23
76,-328,11,-509,72,-541,40,-248,3,-478,14,-232,11,-547,34,-545,36,-529,52,-536,45,-495,86,-552,24,-550,27,-201,5,-548,28,-319,14,-237,3,-197,6,-557,23
77,-420,12,-509,72,-541,40,-248,3,-478,14,-232,11,-547,34,-545,36,-529,52,-536,45,-495,86,-552,24,-550,27,-201,5,-550,28,-319,14,-237,3,-197,6,-557,23
78,-420,12,-509,72,-541,40,-248,3,-478,14,-232,11,-547,34,-545,36,-529,52,-536,45,-495,86,-552,24,-550,27,-222,5,-550,28,-319,14,-237,3,-271,6,-557,23
79,-420,12,-509,72,-541,40,-248,3,-478,14,-326,12,-547,34,-545,36,-529,52,-536,45,-495,86,-552,24,-550,27,-222,5,-550,28,-319,14,-237,3,-271,6,-557,23
80,-421,12,-509,72,-541,40,-248,3,-516,16,-327,12,-547,34,-545,36,-529,52,-536,45,-495,86,-553,24,-550,27,-240,5,-551,28,-352,14,-237,3,-271,6,-557,23
81,-441,12,-509,72,-541,40,-248,3,-554,16,-327,12,-547,34,-545,36,-529,52,-536,45,-495,86,-554,24,-550,27,-240,5,-551,28,-360,14,-264,3,-271,6,-558,23
82,-441,12,-509,72,-541,40,-248,3,-554,16,-327,12,-547,34,-545,36,-529,52,-536,45,-495,86,-554,24,-550,27,-335,5,-551,28,-360,14,-264,3,-271,6,-558,23
83,-441,12,-509,72,-541,40,-336,5,-554,16,-330,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-360,14,-264,3,-271,6,-558,23
84,-441,12,-509,72,-541,40,-394,6,-555,16,-330,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-380,14,-276,3,-274,6,-558,23
85,-441,12,-509,72,-541,40,-414,7,-557,16,-330,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-415,14,-279,3,-308,6,-558,23
86,-442,12,-509,72,-541,40,-502,7,-557,16,-336,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-415,14,-279,3,-308,6,-558,23
87,-443,12,-509,72,-541,40,-502,7,-557,16,-336,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-415,14,-279,3,-402,6,-558,23
88,-443,12,-509,72,-541,40,-502,7,-557,16,-431,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-415,14,-279,3,-402,6,-558,23
89,-452,12,-509,72,-541,40,-507,7,-557,16,-431,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-496,14,-279,3,-402,6,-558,23
90,-452,12,-509,72,-541,40,-507,7,-558,16,-431,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-498,14,-279,3,-494,6,-558,23
91,-527,12,-509,72,-541,40,-507,7,-558,16,-431,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-335,5,-552,28,-498,14,-299,3,-494,6,-558,23
92,-527,12,-509,72,-541,40,-507,7,-558,16,-431,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-430,5,-552,28,-498,14,-299,3,-494,6,-558,23
93,-527,12,-509,72,-541,40,-537,7,-560,16,-431,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-431,5,-552,28,-498,14,-361,3,-494,6,-558,23
94,-546,12,-509,72,-541,40,-537,7,-560,16,-431,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-550,27,-431,5,-552,28,-498,14,-410,3,-521,6,-558,23
95,-546,12,-509,72,-541,40,-547,7,-560,16,-455,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-551,27,-431,5,-552,28,-500,14,-468,3,-521,6,-558,23
96,-549,12,-509,72,-541,40,-547,7,-560,16,-462,12,-547,34,-545,36,-529,52,-536,45,-495,86,-555,24,-551,27,-433,5,-553,28,-554,14,-496,3,-521,6,-558,23
97,-549,12,-509,72,-541,40,-559,7,-560,16,-491,12,-547,34,-545,36,-529,52,-536,45,-495,86,-557,24,-551,27,-445,5,-553,28,-554,14,-515,3,-542,6,-558,23
98,-554,12,-509,72,-541,40,-561,7,-562,16,-542,12,-547,34,-545,36,-529,52,-536,45,-495,86,-557,24,-551,27,-463,5,-553,28,-556,14,-524,3,-548,6,-558,23
99,-554,12,-509,72,-541,40,-566,7,-562,16,-553,12,-547,34,-545,36,-529,52,-536,45,-495,86,-557,24,-551,27,-536,5,-553,28,-556,14,-528,3,-550,6,-558,23
